cast,country,Year,Quarter,Month,Day,description,duration,director,listed_in,rating,release_year,show_id,title,type
"50 Cent, Ryan Phillippe, Bruce Willis, Rory Markham, Jenna Dewan, Brett Granstaff, Randy Couture, Susie Abromeit, Ron Turner, James Remar",United States,2020,Qtr 1,January,10,"A diamond heist goes horribly wrong, and the group of friends who sought to make a fortune must instead fight for their very survival.",85 min,Mike Gunther,Action & Adventure,R,2011,s5506,Set Up,Movie
"A.J. LoCascio, Sendhil Ramamurthy, Fred Tatasciore, Jake Johnson, Lauren Lapkus, Zachary Levi, BD Wong, David Gunning",United States,2016,Qtr 4,October,4,The scientists of Jurassic World create a captivating and terrifying new creature that loves hot dogs. But what happens when the hot dogs run out?,25 min,Michael D. Black,"Children & Family Movies, Comedies",TV-Y7,2016,s3588,LEGO Jurassic World: The Indominus Escape,Movie
"Ã€lex Monner, Emma SuÃ¡rez, Sergi LÃ³pez, Bruno Todeschini, Igor Szpakowski, SÃ­lvia Bel, Greta FernÃ¡ndez, Mikel Iglesias","Spain, Switzerland",2017,Qtr 2,May,1,"When a withdrawn, long-missing teenager reappears in a chilly alpine town, his heartbroken family begins to wonder if he's actually who he says he is.",104 min,"Isaki Lacuesta, Isa Campo","Dramas, International Movies",TV-MA,2016,s6707,The Next Skin,Movie
"Ä°brahim BÃ¼yÃ¼kak, Zeynep KoÃ§ak, Gupse Ã–zay, Cengiz Bozkurt",Turkey,2020,Qtr 2,April,28,"As an honest locksmith scrambles to pay his late father's hefty debt to the mafia, he crosses paths with a woman in similar trouble and falls for her.",100 min,Bedran GÃ¼zel,"Comedies, International Movies",TV-MA,2016,s3269,KÃ¼Ã§Ã¼k Esnaf,Movie
"Ã‡aÄŸlar Ã‡orumlu, BÃ¼ÅŸra Pekin, Ersin Korkut, GÃ¼lhan Tekin, Mahir Ä°pek, UÄŸur Bilgin, Ã–ner AteÅŸ, Hakan Ummak, Patrycja Widlak, Hamza YazÄ±cÄ±",Turkey,2020,Qtr 2,June,4,"A mayoral candidate wins office, promising to turn a small province into its own country as a war and wacky events with his wife and advisors ensue.",105 min,Murat Kepez,"Comedies, International Movies",TV-MA,2017,s4714,Overnight Republic,Movie
"Ã‡etin Tekindor, Fikret KuÅŸkan, HÃ¼meyra, Ege Tanman, Åžerif Sezer, Yetkin Dikinciler, Binnur Kaya, Mahmut GÃ¶kgÃ¶z, Nergis Ã‡orakÃ§i, Bilge Sen",Turkey,2018,Qtr 2,April,30,"Following Turkey's bloody coup of 1980, a widowed reporter returns to his Aegean hometown, bringing his son and a last wish for his estranged father.",112 min,Ã‡agan Irmak,"Dramas, International Movies",TV-14,2005,s665,Babam ve OÄŸlum,Movie
"Ãlvaro Ogalla, Marta Larralde, BÃ¡rbara Lennie, Vicky PeÃ±a, Juan Calot, Kaiet Rodriguez, AndrÃ©s GertrÃºdix, JoaquÃ­n Climent, Ãlvaro Roig, Tino Martinez, Mercedes Hoyos","Spain, France, Uruguay",2017,Qtr 2,May,10,A young man determined to renounce Catholicism by having his baptismal records excised is thwarted by church bureaucracy and his own inner conflicts.,80 min,Federico Veiroj,"Comedies, Dramas, International Movies",TV-MA,2015,s6089,The Apostate,Movie
"á¹¢á»páº¹Ì DÃ¬rÃ­sÃ¹, Wunmi Mosaku, Matt Smith, Malaika Wakoli-Abigaba",United Kingdom,2020,Qtr 4,October,30,"As a young couple from war-torn South Sudan seeks asylum and a fresh start in England, theyâ€™re tormented by a sinister force living in their new home.",93 min,Remi Weekes,"Horror Movies, Independent Movies",TV-14,2020,s2748,His House,Movie
"Aadhi, Tapsee Pannu, Ritika Singh, Vennela Kishore, Sapthagiri",India,2019,Qtr 1,February,15,"When a blind chefâ€™s girlfriend goes missing, his unnerving search for her leads him to find there's more to her disappearance than what meets the eye.",132 min,Hari Nath,"Dramas, International Movies, Romantic Movies",TV-14,2018,s4444,Neevevaro,Movie
"Aamina Sheikh, Sanam Saeed, Adnan Malik, Mohammad Ahmad, Beo Rana Zafar, Faris Khalid, Hira Hussain, Mikaal Zulfiqar","United Kingdom, Pakistan",2019,Qtr 2,May,15,"When their aging fatherâ€™s illness reunites two sisters under one roof, new tensions arise between them as old wounds and hidden secrets surface.",125 min,Asim Abbasi,"Comedies, Dramas, International Movies",TV-MA,2018,s1171,Cake,Movie
